Participant #,Time,Group,Survey,Response,Question
6,Pre,Experimental,FACES,4,4
6,Pre,Experimental,FACES,4,5
6,Pre,Experimental,FACES,4,6
6,Pre,Experimental,FACES,4,7
6,Pre,Experimental,AKS,5,1
6,Pre,Experimental,AKS,2,2
6,Pre,Experimental,AKS,1,3
6,Pre,Experimental,AKS,5,4
6,Pre,Experimental,AKS,1,5
6,Pre,Experimental,AKS,5,6
6,Pre,Experimental,AKS,3,7
6,Pre,Experimental,AKS,4,8
6,Pre,Experimental,AKS,1,9
6,Pre,Experimental,AKS,3,10
6,Pre,Experimental,AKS,1,11
6,Pre,Experimental,AKS,2,12
6,Pre,Experimental,AKS,2,13
6,Pre,Experimental,AKS,1,14
6,Pre,Experimental,AKS,4,15
6,Pre,Experimental,AKS,2,16
6,Pre,Experimental,AKS,3,17
6,Pre,Experimental,AKS,3,18
6,Pre,Experimental,AKS,4,19
6,Pre,Experimental,AKS,4,20
6,Pre,Experimental,AKS,3,21
6,Pre,Experimental,FES,5,1
6,Pre,Experimental,FES,4,2
6,Pre,Experimental,FES,5,3
6,Pre,Experimental,FES,5,4
6,Pre,Experimental,FES,3,5
6,Pre,Experimental,FES,4,6
6,Pre,Experimental,FES,3,7
6,Pre,Experimental,FES,1,8
6,Pre,Experimental,FES,4,9
6,Pre,Experimental,FES,2,10
6,Pre,Experimental,FES,3,11
6,Pre,Experimental,FES,4,12
6,Pre,Experimental,FES,5,13
6,Pre,Experimental,FES,3,14
6,Pre,Experimental,FES,3,15
6,Pre,Experimental,FES,5,16
6,Pre,Experimental,FES,5,17
6,Pre,Experimental,FES,5,18
6,Pre,Experimental,FES,5,19
6,Pre,Experimental,FES,3,20
6,Pre,Experimental,FES,4,21
6,Pre,Experimental,FES,3,22
6,Pre,Experimental,FES,3,23
6,Pre,Experimental,FES,3,24
6,Pre,Experimental,FES,5,25
6,Pre,Experimental,FES,3,26
6,Pre,Experimental,FES,5,27
6,Pre,Experimental,FES,5,28
6,Pre,Experimental,FES,5,29
6,Pre,Experimental,FES,3,30
6,Pre,Experimental,FES,4,31
6,Pre,Experimental,FES,4,32
6,Pre,Experimental,FES,4,33
6,Pre,Experimental,FES,5,34
8,Pre,Experimental,FACES,4,1
8,Pre,Experimental,FACES,5,2
8,Pre,Experimental,FACES,5,3
8,Pre,Experimental,FACES,4,4
8,Pre,Experimental,FACES,4,5
8,Pre,Experimental,FACES,2,6
8,Pre,Experimental,FACES,5,7
8,Pre,Experimental,AKS,5,1
8,Pre,Experimental,AKS,2,2
8,Pre,Experimental,AKS,1,3
8,Pre,Experimental,AKS,5,4
8,Pre,Experimental,AKS,1,5
8,Pre,Experimental,AKS,1,6
8,Pre,Experimental,AKS,1,7
8,Pre,Experimental,AKS,3,8
8,Pre,Experimental,AKS,3,9
8,Pre,Experimental,AKS,2,10
8,Pre,Experimental,AKS,3,11
8,Pre,Experimental,AKS,4,12
8,Pre,Experimental,AKS,4,13
8,Pre,Experimental,AKS,1,14
8,Pre,Experimental,AKS,5,15
8,Pre,Experimental,AKS,1,16
8,Pre,Experimental,AKS,5,17
8,Pre,Experimental,AKS,2,18
8,Pre,Experimental,AKS,1,19
8,Pre,Experimental,AKS,2,20
8,Pre,Experimental,AKS,3,21
8,Pre,Experimental,FES,5,1
8,Pre,Experimental,FES,4,2
8,Pre,Experimental,FES,5,3
8,Pre,Experimental,FES,5,4
8,Pre,Experimental,FES,5,5
8,Pre,Experimental,FES,5,6
8,Pre,Experimental,FES,5,7
8,Pre,Experimental,FES,4,8
8,Pre,Experimental,FES,5,9
8,Pre,Experimental,FES,3,10
8,Pre,Experimental,FES,5,11
8,Pre,Experimental,FES,5,12
8,Pre,Experimental,FES,5,13
8,Pre,Experimental,FES,5,14
8,Pre,Experimental,FES,3,15
8,Pre,Experimental,FES,5,16
8,Pre,Experimental,FES,5,17
8,Pre,Experimental,FES,5,18
8,Pre,Experimental,FES,5,19
8,Pre,Experimental,FES,4,20
8,Pre,Experimental,FES,3,21
8,Pre,Experimental,FES,4,22
8,Pre,Experimental,FES,5,23
8,Pre,Experimental,FES,4,24
8,Pre,Experimental,FES,5,25
8,Pre,Experimental,FES,5,26
8,Pre,Experimental,FES,4,27
8,Pre,Experimental,FES,5,28
8,Pre,Experimental,FES,5,29
8,Pre,Experimental,FES,4,30
8,Pre,Experimental,FES,5,31
8,Pre,Experimental,FES,5,32
8,Pre,Experimental,FES,4,33
8,Pre,Experimental,FES,5,34
9,Pre,Experimental,FACES,5,1
9,Pre,Experimental,FACES,2,2
9,Pre,Experimental,FACES,2,3
9,Pre,Experimental,FACES,4,4
9,Pre,Experimental,FACES,3,5
9,Pre,Experimental,FACES,5,6
9,Pre,Experimental,FACES,5,7
9,Pre,Experimental,AKS,5,1
9,Pre,Experimental,AKS,2,2
9,Pre,Experimental,AKS,2,3
9,Pre,Experimental,AKS,5,4
9,Pre,Experimental,AKS,1,5
9,Pre,Experimental,AKS,3,6
9,Pre,Experimental,AKS,1,7
9,Pre,Experimental,AKS,5,8
9,Pre,Experimental,AKS,5,9
9,Pre,Experimental,AKS,1,10
9,Pre,Experimental,AKS,1,11
9,Pre,Experimental,AKS,5,12
9,Pre,Experimental,AKS,5,13
9,Pre,Experimental,AKS,1,14
9,Pre,Experimental,AKS,3,15
9,Pre,Experimental,AKS,3,16
9,Pre,Experimental,AKS,5,17
9,Pre,Experimental,AKS,1,18
9,Pre,Experimental,AKS,1,19
9,Pre,Experimental,AKS,5,20
9,Pre,Experimental,AKS,3,21
9,Pre,Experimental,FES,5,1
9,Pre,Experimental,FES,5,2
9,Pre,Experimental,FES,5,3
9,Pre,Experimental,FES,5,4
9,Pre,Experimental,FES,4,5
9,Pre,Experimental,FES,5,6
9,Pre,Experimental,FES,4,7
9,Pre,Experimental,FES,3,8
9,Pre,Experimental,FES,5,9
9,Pre,Experimental,FES,3,10
9,Pre,Experimental,FES,5,11
9,Pre,Experimental,FES,5,12
9,Pre,Experimental,FES,5,13
9,Pre,Experimental,FES,3,14
9,Pre,Experimental,FES,3,15
9,Pre,Experimental,FES,3,16
9,Pre,Experimental,FES,5,17
9,Pre,Experimental,FES,5,18
9,Pre,Experimental,FES,5,19
9,Pre,Experimental,FES,5,20
9,Pre,Experimental,FES,3,21
9,Pre,Experimental,FES,3,22
9,Pre,Experimental,FES,3,23
9,Pre,Experimental,FES,4,24
9,Pre,Experimental,FES,4,25
9,Pre,Experimental,FES,5,26
9,Pre,Experimental,FES,5,27
9,Pre,Experimental,FES,5,28
9,Pre,Experimental,FES,5,29
9,Pre,Experimental,FES,4,30
9,Pre,Experimental,FES,5,31
9,Pre,Experimental,FES,5,32
9,Pre,Experimental,FES,5,33
9,Pre,Experimental,FES,5,34
9,Pre,Experimental,SCS,4,1
9,Pre,Experimental,SCS,3,2
9,Pre,Experimental,SCS,4,3
9,Pre,Experimental,SCS,4,4
9,Pre,Experimental,SCS,4,5
9,Pre,Experimental,SCS,1,6
9,Pre,Experimental,SCS,3,7
9,Pre,Experimental,FPPS,4,1
9,Pre,Experimental,FPPS,4,2
9,Pre,Experimental,FPPS,4,3
9,Pre,Experimental,FPPS,4,4
9,Pre,Experimental,FPPS,5,5
9,Pre,Experimental,FPPS,4,6
9,Pre,Experimental,FPPS,5,7
9,Pre,Experimental,FPPS,5,8
9,Pre,Experimental,FPPS,4,9
9,Pre,Experimental,FPPS,4,10
9,Pre,Experimental,FPPS,4,11
9,Pre,Experimental,FPPS,4,12
9,Pre,Experimental,FPPS,5,13
9,Pre,Experimental,FPPS,5,14
9,Pre,Experimental,FPPS,5,15
9,Pre,Experimental,FPPS,4,16
9,Pre,Experimental,FPPS,4,17
9,Pre,Experimental,FPPS,4,18
9,Pre,Experimental,SEAS,2,1
9,Pre,Experimental,SEAS,2,2
9,Pre,Experimental,SEAS,2,3
9,Pre,Experimental,SEAS,2,4
9,Pre,Experimental,SEAS,4,5
9,Pre,Experimental,SEAS,5,6
9,Pre,Experimental,SEAS,4,7
9,Pre,Experimental,SEAS,4,8
9,Pre,Experimental,SEAS,5,9
9,Pre,Experimental,SEAS,5,10
11,Pre,Experimental,FACES,3,1
11,Pre,Experimental,FACES,4,2
11,Pre,Experimental,FACES,4,3
11,Pre,Experimental,FACES,4,4
11,Pre,Experimental,FACES,4,5
11,Pre,Experimental,FACES,4,6
11,Pre,Experimental,FACES,5,7
11,Pre,Experimental,AKS,4,1
11,Pre,Experimental,AKS,2,2
11,Pre,Experimental,AKS,1,3
